"","tmin","prcp","swe","enso","nao","total_exp","rel_var","mean_arr_true","nn_count","cell"
"var_exp_cm.145",0.177135347125343,0.00654634882872249,0.0123317716427437,0.0194362600901663,0.0152439584641564,0.300714858443734,12.633463579093,120.217619864053,15,280
"var_exp_cm.146",0.263650063075555,0.00398170164374298,0.0183452389286307,0.00926891508879584,0.0124664382396592,0.330542353369008,12.957758085867,119.308677309286,15,281
"var_exp_cm.147",0.0724727599023686,0.00674887432815274,0,0.0326930041760691,0.0260788930403021,0.119278952437898,7.14208425829717,91.9331387143685,20,3671
"var_exp_cm.148",0.0865088097212915,0.00918780282900227,0,0.0328689149842082,0.0270417181661726,0.165203571188081,7.34233482070068,97.967195446114,20,3673
"var_exp_cm.149",0.188278311640914,0.00366101296223392,0.0473761372412571,0.00333967915712583,0.00628739812137748,0.334554665424812,28.253455124894,117.951679730873,15,509
"var_exp_cm.150",0.203158789601653,0.00134061354617277,0.0535329354377404,0.00311629815736722,0.00506406993131391,0.340770441127859,33.3159526488284,116.882872630419,11,510
"var_exp_cm.151",0.199341381079403,0.0137138759781602,0.0321711768229219,0.0371448377954325,0.0222380243347528,0.309316386151764,5.20511913131998,120.172816040252,63,622
"var_exp_cm.152",0.0657426692566773,0.0117880059284003,0.000142315383452346,0.03566588960975,0.026463177347683,0.134382961218336,7.12724763704389,93.3426432511802,33,727
"var_exp_cm.153",0.256025696683589,0.0117822624503612,0.0213353657137714,0.0151476818701351,0.012956346952987,0.330437013926184,11.1567586910413,131.505306510607,23,741
"var_exp_cm.154",0.138273694835373,0.0160762428076439,0.0132071728415268,0.00940721836330881,0.0136633409470464,0.210755665109195,12.0669161978209,116.702250053686,17,142
"var_exp_cm.155",0.0864264120492045,0.00897155142985518,0.0319416545871401,0.00703056409518715,0.011335021341132,0.157636882403488,16.6783483473014,118.938560238037,12,198
"var_exp_cm.156",0.137983577902267,0.00342634263358102,0.132465474950476,0.00503855423472585,0.00668762231925781,0.301085429813517,20.6018586321933,118.33597377449,7,284
"var_exp_cm.157",0.129201242733533,0.00193479006165735,0.00393693089025266,0.0131309996645433,0.00374447227725385,0.198132613576753,40.4468020438635,113.273864579614,2,312
"var_exp_cm.158",0.213176098482088,0.00273592462807123,0.0206630543178933,0.0105244226096706,0.0132942459832054,0.252474039029323,14.1532326935166,124.224673630516,9,460
"var_exp_cm.159",0.319500357734762,0.00952331342193481,0.0628989999537306,0.0026809928664682,0.00508665298468421,0.505279172794021,35.7499909319434,101.96776064196,8,539
"var_exp_cm.160",0.0235207474514328,0.0107018838067993,0.0104948458312489,0.00724932141268942,0.0118714523294168,0.0518739611747884,14.9911436505754,131.611273252441,7,58
"var_exp_cm.161",0.259282080733259,0.0134317142113461,0.0284354885986149,0.0148339646339993,0.0106418763318387,0.298039589680083,11.132304988974,128.106013295755,6,742
